jp-ja,en-us
,
頭,HEAD
由腕,R.ARM
込腕,L.ARM
脚,LEGS
尾,TAIL
胴,BODY
胸,CHEST
腹,ABDOMEN
由脚,R.LEG
込脚,L.LEG
口,MOUTH
首,NECK
翼,WINGS
由腕,R.ARM
込腕,L.ARM
,
,
充使吉,«F6EF»«F6EF»«F6EF»
宝箱,Treasure Chest
«F800»«FB04»«FF00»«FA0C»«FF01»↵«FB04»対象:«FF02»«FA0C»«FF03»«FF04»«FF05»,«F800»«FB04»«FF00» «FF01»↵«FB04»TARGET: «FF02» «FF03»«FF04»«FF05»
HP«FE00»/«FE01»%,HP «FE00»/«FE01»%
MP«FE00»/«FE01»%,MP «FE00»/«FE01»%
«FF06»«FE01»%,«FF06»«FE01»%
破壊氷能,
破壊不氷能,Indestructable
ユニット単体,Single
ユニット複数,Multiple
ユニット単体,Single
ユニット複数,Multiple
リム単体,Single
リム複数,Multiple
リム単体,Single
リム複数,Multiple
移動パネル,Cloudstone
宝箱,Treasure Chest
リム複数,Multiple
リム複数,Multiple
トラップ,Trap
リム単体・キューブ,Single
,
仮擊/,BLN/
切断/,EGD/
貫通/,PRC/
«EE»,PHY
風,AIR
火,FIR
土,ERT
水,WAT
神聖,LIT
暗黑,DRK
/ヒューマン,/Human
/ビースト,/Beast
/アンデッド,/Undead
/ファントム,/Phantom
/ドラゴン,/Dragon
/イービル,/Evil
STRダウン/,STR—down/
STRアップ/,STR—up/
INTダウン/,INT—down/
INTアップ/,INT—up/
AGLダウン/,AGL—down/
AGLアップ/,AGL—up/
クイック/,Quicken/
サイレント/,Silent/
マヒ/,Paralysis/
毒/,Poison/
しびれ/,Numbness/
呪い/,Curse/
リジェネ/,Regenerate/
魔法無効/,Magic Ward/
アイテムダウン/,Equip—down/
アイテムアップ/,Equip—up/
アタッチエア/,+ Air/
アタッチファイア/,+ Fire/
アタッチアース/,+ Earth/
アタッチウォーター/,+ Water/
レジストエア/,Resist Air/
レジストファイア/,Resist Fire/
レジストアース/,Resist Earth/
レジストウォーター/,Resist Water/
«FB04»扉には何らかの鍵がかかっている。,Bronze Key
黄銅の鍵,Iron Key
黑鉄の鍵,Silver Key
吐銀の鍵,Gold Key
黄金の鍵,Platinum Key
吐鋼の鍵,Steel Key
赤鉄の鍵,Crimson Key
聖仙騎士占の鍵,Chest Key
宝箱の鍵,Chamomile Sigil
ハマシオンの刻仙,Lily Sigil
リリーの刻仙,Tearose Sigil
ピラカンサの刻仙,Clematis Sigil
クレマチスの刻仙,Hyacinth Sigil
ムスカリの刻仙,Fern Sigil
シャガの刻仙,Aster Sigil
アスターの刻仙,Eulelia Sigil
キュラスの刻仙,Melissa Sigil
メリッサの刻仙,Calla Sigil
カラーの刻仙,Laurel Sigil
コナラの刻仙,Acacia Sigil
アカシアの刻仙,Palm Sigil
