File,Index,rows,cols,Original
MAP001,0,1,23,«FB90» Have you found Sydney?
MAP001,1,1,13,"«FB60»«FB04»Not yet, sir."
MAP001,2,3,27,"«FB28»«FA24»Put out the fires,↵«FA24»or weʹll lose the manor↵«FA24»and all will be for naught!"
MAP001,3,3,34,"«FB30»«FA0C»Split the knights into two groups,↵«FA0C»one to douse the blaze, the other↵«FA0C»to exterminate the traitors!"
MAP001,4,1,17,"«FB60» Right away, sir."
MAP001,5,1,25,"«FBA8»«FA12»...Where are you«F80A»,«F801» Sydney?"
MAP003,0,3,16,«FB88»«FA18»...Show them who↵«FA18»theyʹre dealing↵«FA18»with!
MAP003,1,2,23,«FBB0»«FA12»Torch the chambers↵«FA02»and kill the hostages!!
MAP003,2,1,4,«FB60»«FB04»Aye!
MAP004,0,2,19,«FB60» ...Well?↵ Have you found it?
MAP004,1,1,13,«FB98»«FB04» Itʹs no use.
MAP004,2,3,16,«FB30»«FA0C»Thereʹs nothing↵«FA0C»like that here--↵«FA0C»anywhere.
MAP004,3,3,13,"↵«FB10»«FA18»Keep looking,↵«FA18»damn you!"
MAP004,4,2,16,"«FB60»«FA0C»Iʹm telling you,↵«FA0C»Sydney!"
MAP004,5,2,15,«FB60»«FA0C»The knights are↵«FA0C»nearly upon us!
MAP004,6,1,22,«FB88»«FA0C»Stop your whimpering! 
MAP004,7,3,19,«FB30»«FA18»Youʹd come this far↵«FA18»only to leave↵«FA18»empty—handed?
MAP004,8,1,12,"«FB90»«FA30»Now, search!"
MAP005,0,2,22,«FB30»«FA0C»Curse the duke!↵«FA0C»Whereʹs he hidden it!?
MAP005,1,2,17,«FB60»«FA1E»You sure the duke↵«FA1E»really has it?
MAP005,2,2,21,«FB60»«FA12»Does the damned thing↵«FA12»even exist?
MAP005,3,1,21,"«FBB8»«FA0C»You doubt me, Hardin?"
MAP005,4,1,20,«FBB0»«FA12»You doubt my power!?
MAP005,5,2,19,«FB60»«FA18»F—Forgive me!↵«FA12»I did not intend...
MAP005,6,3,23,"«FB28»«FA0C»But Sydney, any longer,↵«FA0C»and there will be↵«FA0C»no escape for us!"
MAP005,7,3,17,"«FB28»«FA0C»Fine, then«F810»!«F801»↵«FA0C»Bring the boy and↵ come with me!«FC00»!"
MAP008,0,1,13,«FB90»«FB04»«F802»Leá Mon«FC00»de...«F801»?
MAP009,0,1,18,"«FB68»«FA0C»Ah, vintage wine«FA02»--"
MAP009,1,2,18,"«FB28»«FA0C»...No live burials↵«FA0C»today, thanks."
MAP009,2,2,19,"«FB30» ʺA strange power,ʺ↵ indeed..."
MAP010,0,1,9,«FB48»«FA18».........
MAP010,1,2,26,«FB60»«FA0C»Ur...I...I b—beg of ye...↵«FA0C»Sss...Stop the...p—pain...
MAP010,2,2,30,"«FB58»«FA0C»Is this some magick, or merely↵«FA0C»the power of Leá Monde...?"
MAP011,0,2,26,"«FB28»«FA0C»...Is this, too,↵«FA0C»part of your game,«FC00» Sydney?"
MAP013,0,2,13,«FB30»«FA0C»Well?↵«FA0C»Got ʹer open?
MAP013,1,2,17,«FB28»«FA12»...Itʹs no good.↵«FA12»Noʹ even a budge.
MAP013,2,3,17,"«FB30»«FA0C»Whatʹs this?↵«FA0C»It werenʹt lockʹd↵«FA0C»a moment ago, eh?"
MAP013,3,3,25,«FB28»«FA0C»No key holds this door...↵«FA0C»It be a Grimoire whatʹs↵«FA0C»doing this!
MAP013,4,2,25,"«FB28»«FA0C»Well, who lockʹd it then?↵«FA0C»...Someone inside?"
MAP013,5,1,19,«FB60»«FA12»Buggered if I know!
MAP013,6,2,22,«FB30»«FA0C»Look«FA02»--weʹll be cut off↵«FA0C»from the others!
MAP013,7,2,20,"«FB60» And where are those↵ scouts, man?"
MAP013,8,2,14,«FB30»«FA12»...Theyʹve not↵«FA12»returnʹd.
MAP013,9,2,19,«FB68»«FA0C»This be no time↵«FA0C»for loafinʹ around!
MAP013,10,1,25,"«FB98»«FA0C»Keep yer cap on, brother!"
MAP013,11,2,24,«FB60»«FA12»...Now come up ʹere↵«FA12»and take a look at THIS!
MAP013,12,1,12,«FB68»«FA0C»Whatʹs that?
MAP013,13,1,17,«FB68» ...A ʺGrimoireʺ«FA04»?
MAP014,0,2,17,"«FB60»«FA0C»This, too, be a↵«FA0C»Grimoireʹs doing?"
MAP014,1,1,12,«FB60»«FA24»By the gods!
MAP014,2,2,22,«FB30»«FA0C»Iʹd oft heard oʹ it...↵«FA0C»but this!
MAP014,3,3,26,«FB30» ...Anʹ a wyrm«FA02»--a DRAGON«FA02»--↵ was sighted at the dukeʹs↵ manor.
MAP014,4,2,30,"«FB60»«FA0C»Well, if thereʹs magick about,↵«FA0C»dragons wonʹt be far behind..."
MAP014,5,2,26,«FB68»«FA18»I worry about Guildenstern↵«FA18»and the others.
MAP014,6,1,24,"«FB90»«FA24»...Ach, theyʹll be fine."
MAP014,7,1,12,«FB90»«FA48»Think of it!
MAP014,8,3,34,"«FB28»«FA02»«FA0C»If weʹve witnessed miracles↵«FA02»«FA0C»such as these on Leá Mondeʹs↵«FA01» doorstep, what then lies within!?"
MAP014,9,2,32,"«FB60»«FA0C»...Ye wear naiveté like a crest,↵«FA0C»brother!"
MAP014,10,3,32,"«FB28»«FA0C»Surely the maesters know of this↵«FA0C»ʺGrimoire.ʺ Mayhaps weʹve just↵«FA0C»been in the dark, eh?"
MAP014,11,2,31,«FB60»«FA0C»Yet our charge is to drub those↵«FA0C»Müllenkamp scoundrels anʹ«FA02»--
MAP014,12,2,27,«FB60»«FA1E»And procure the miracles of↵«FA1E»Leá Monde!
MAP014,13,3,34,"«FB30»«FA12»ʹTis just a rumor, but Iʹve heard↵«FA12»that Guildensternʹs lot works them↵«FA12»magicks as well..."
MAP014,14,2,27,«FB60»«FA0C»Rubbish!↵«FA0C»Weʹre servants of the Lord!
MAP014,15,3,27,«FB30»«FA0C»No true Knight of the Cross↵«FA0C»would dabble in the black↵«FA0C»arts!
MAP014,16,1,29,"«FB90»«FA24»Itʹs only a rumor, brother..."
MAP014,17,3,33,"«FB30»«FA12»But if Sydney is truly the worker↵«FA12»of diablerie they claim he is,↵«FA12»I say fight fire with fire!"
MAP014,18,2,19,«FB60» I say let the Lord↵ be our shield!
MAP014,19,1,18,«FB60»«FA0C»Ever the choirboy!
MAP014,20,2,26,«FB60»«FA12»The only shield I see is↵«FA12»the one coverinʹ yer eyes.
MAP014,21,3,28,"«FB30»«FA0C»Heretic or no, I believe↵«FA0C»what I see, and right now...↵«FA0C»I see sorcery."
MAP014,22,1,9,«FB48»«FA12».........
MAP014,23,3,27,"«FB30»«FA18»...Swineʹll take wing ʹfore↵«FA18»the likes of us use magick,↵«FA18»my friend."
MAP014,24,4,29,"«FB28»«FA0C»Aye, but with a Grimoire,↵«FA0C»your fattest sow could outfly↵«FA0C»my swiftest falcon«FA02»--if ye↵«FA0C»believe the chroniclers."
MAP014,25,2,16,"«FB60»«FA12»With a Grimoire,↵«FA12»you say?"
