File,Index,rows,cols,Original
MAP001,0,10,1,«F800»貿易都辺グレイランド
MAP001,1,8,1,«F800»バルドルバ公爵邸
MAP001,2,1,12,«FB98»«FB04»シドニーは見つかったか?
MAP001,3,1,5,«FB68»«FB04»まだです。
MAP001,4,3,16,«FB30»«FA18»⋯火を消せ。↵«FA18»これでは館曲体が燃えてしまうぞ。↵«FA18»それでは意味がない。
MAP001,5,3,16,"«FB30»«FA18»騎士占を二手に分け,一方を↵«FA18»反逆者どものせん滅に,↵«FA18»もう一方を消火にあたらせるんだ。"
MAP001,6,1,8,"«FB68»«FB04»ハッ,ただちに。"
MAP001,7,1,15,"«FBB8»«FB04»⋯⋯⋯シドニーめ«F80A»,«F801»どこにいる?"
MAP003,0,2,8,«FBB8»«FA18»⋯そうだ。↵«FA18»部屋に火を放て!
MAP003,1,3,8,«FB98»«FA18»人質を見せしめに↵«FA18»殺すんだ。↵«FA18»いいなッ!«FAFA»!
MAP003,2,1,3,«FB60»«FB04»ハッ!
MAP004,0,2,7,«FB60»«FA18»⋯どうだ?↵«FA18»見つかったか?
MAP004,1,1,9,«FB98»«FB04»«FA0C»ダメだ。わからん。
MAP004,2,2,8,«FB68»«FA0C»それらしいものは↵«FA0C»どこにもない。
MAP004,3,2,11,"↵«FB90»«FB04»いいから,探してこい!"
MAP004,4,2,7,"«FB70»«FA24»無理を言うな,↵«FA24»シドニー!"
MAP004,5,2,11,«FB60»«FA0C»騎士占の連中が↵«FA0C»そこまで来てるんだぞ!
MAP004,6,2,9,«FB60»«FA24»ここまできて↵«FA24»弱音を出くのか!?
MAP004,7,2,12,«FB60»«FA0C»アレがなければ↵«FA0C»なんの意味もないんだぞ!
MAP004,8,1,13,«FB98»«FB04»⋯さっさと探してくるんだ!
MAP005,0,2,17,"«FB68»«FA12»くそッ,公爵めッ!↵«FA12»いったいどこに隠しやがったんだ!!"
MAP005,1,1,14,«FB98»«FB04»伝右に公爵は持っているのか?
MAP005,2,2,13,"«FB68»«FA18»だいたい,伝右にあるのか,↵«FA18»あんなモンが⋯?"
MAP005,3,2,10,"«FBC8»«FA18»このオレを疑うのか,↵«FA18»ハーディン!?"
MAP005,4,1,11,«FBE8»«FB04»オレの力を疑うとッ?!
MAP005,5,2,9,"«FB68»«FA18»す,すまん。↵«FA18»そんなつもりじゃ⋯"
MAP005,6,3,13,"«FB68»«FA18»だ,だが,シドニー,↵«FA18»このままだとオレたちまで↵«FA18»逃げられなくなってしまう。"
MAP005,7,2,12,"«FB60»«FA0C»⋯チッ,わかった«F810»。«F801»↵«FA0C»人質のガキを連れてこい«FC00»!"
MAP008,0,1,8,«FBA0»«FB04»«F802»レアモ«FC00»ンデか⋯«F801»⋯
MAP009,0,1,12,«FB68»«FA0C»ビンテージワインか⋯⋯。
MAP009,1,1,11,«FB68»«FA0C»⋯各き埋めはご免だな。
MAP009,2,1,9,«FB68»«FA0C»«F79D»不思議な力«F79E»か⋯⋯。
MAP010,0,1,4,«FB68»«FA12»⋯⋯⋯。
MAP010,1,2,13,"«FB68»«FA0C»う⋯«F810»⋯«F801»く⋯⋯頼⋯む⋯⋯«F814»,«F801»↵«FA0C»楽に⋯«F812»,«F801»楽にして«F806»⋯«F801»く⋯⋯。"
MAP010,2,2,17,"«FB68»«FA0C»これも«FAFD»〝魔法〞«FAFD»の力なのか,↵«FA0C»それともレアモンデの力なのか⋯⋯?"
MAP011,0,1,16,"«FB68»«FA0C»⋯これもゲームなのか,«FC00»シドニー。"
MAP013,0,1,11,«FB98»«FA0C»どうだ? 開きそうか?
MAP013,1,1,13,«FB98»«FA0C»⋯ダメだ。ビクともしない。
MAP013,2,3,13,«FB68»«FA0C»どういうことだ?↵«FA0C»さっきまで鍵なんてかかって↵«FA0C»いなかったはずだぞ?
MAP013,3,2,13,«FB68»«FA0C»鍵⋯じゃない。↵«FA0C»«FAFE»〝グリモア〞«FAFC»の力のようだ。
MAP013,4,2,14,«FB68»«FA0C»誰がロックしたっていうんだ?↵«FA0C»⋯内側からか?
MAP013,5,1,10,"«FB98»«FA24»知るか,そんなこと!"
MAP013,6,2,15,"«FB68»«FA0C»とにかく,ここが開かない限り↵«FA0C»伝隊と処流できないってことだ。"
MAP013,7,2,9,"«FB68»«FA0C»そんなことより,↵«FA0C»奧へ行った連中は?"
MAP013,8,1,8,"«FB68»«FA0C»⋯いや,まだだ。"
MAP013,9,2,13,"«FB68»«FA0C»なにを油を壳っているんだ,↵«FA0C»あいつらは!"
MAP013,10,1,11,"«FB98»«FA1E»そう,カッカするなよ。"
MAP013,11,2,14,«FB68»«FA0C»⋯それよりもこっちへ来いよ。↵«FA0C»おもしろいものが見れるぜ。
MAP013,12,1,8,«FB68»«FA0C»おもしろいもの?
MAP013,13,1,6,«FB68»«FA0C»⋯グリモア?
MAP014,0,2,10,«FB68»«FA0C»これも«FAFE»〝グリモア〞«FAFC»の↵«FA0C»力なのか?
MAP014,1,1,12,«FB98»«FA18»まったくびっくりするぜ。
MAP014,2,2,14,"«FB68»«FA0C»聞いてはいたが,↵«FA0C»実際に名の右たりにするとな。"
MAP014,3,2,13,«FB68»«FA0C»⋯公爵邸で«FAFE»〝竜〞«FAFC»を見た者が↵«FA0C»いたと言っていたが⋯。
MAP014,4,3,15,"«FB68»«FA0C»ああ,«FAFE»〝魔法〞«FAFC»が実去するなら,↵«FA0C»ドラゴンだってなんだって↵«FA0C»いるんだろうさ。"
MAP014,5,2,12,«FB68»«FA12»⋯ギルデンスターン様らは↵«FA12»無事なのか?
MAP014,6,1,12,"«FBC0»«FA12»⋯⋯大丈夫⋯さ,きっと。"
MAP014,7,2,15,«FB68»«FA0C»こんなレアモンデの入口に↵«FA0C»«FAFE»〝奇跡〞«FAFC»が号去しているんだぞ?
MAP014,8,2,12,«FB68»«FA18»奧には何がある?↵«FA18»レアモンデには何がある?
MAP014,9,1,9,«FBC0»«FA3C»⋯あつくなるなよ。
MAP014,10,3,18,"«FB68»«FA0C»オレたちは新人だからよくわからんが,↵«FA0C»上層部が〝グリモア〞の号去を知って↵«FA0C»いたことは確かだ。"
MAP014,11,1,5,«FBC0»«FA54»そうだろ?
MAP014,12,2,17,«FB68»«FA0C»ああ。オレたちの任務はレアモンデに↵«FA0C»潛むメレンカンプのせん滅と⋯
MAP014,13,1,9,«FB98»«FA48»«FAFE»〝奇跡の確保〞«FAFC»だ。
MAP014,14,2,20,"«FB68»«FA0C»⋯噂なんだが,ギルデンスターン様らも⋯,↵«FA0C»その«FAFE»〝魔法〞«FAFC»を使うことができるらしい⋯。"
MAP014,15,2,12,«FB68»«FA2A»バカな!↵«FA2A»我々は神に左える身だぞ!
MAP014,16,2,17,"«FB68»«FA0C»その我々が,いや,聖仙騎士占の↵«FA0C»占長が邪教の力を使うというのか!«FAFA»?"
MAP014,17,1,12,"«FBC0»«FA3C»だから,あくまでも噂だ!"
MAP014,18,3,20,"«FB68»«FA0C»⋯だが,シドニーらが伝右に«FAFE»〝魔法〞«FAFC»を↵«FA0C»使うのであれば,それを退治する者たちも↵«FA0C»加じ力がなければ刃が壮たない気がするぞ。"
MAP014,19,1,9,«FB98»«FA0C»神のご札護がある!
MAP014,20,2,13,«FB68»«FA0C»めでたいヤツだな。↵«FA0C»伝右に神なんぞいるとでも?
MAP014,21,3,14,"«FB68»«FA12»オレは神サマには↵«FA12»お名にかかったことはないが,↵«FA12»«FAFE»〝邪教の力〞«FAFC»は信じるぜ。"
MAP014,22,1,15,"«FBC8»«FA0C»⋯今,名の前にあるんだからな。"
MAP014,23,1,4,«FB68»«FA0C»⋯⋯⋯。
MAP014,24,2,17,"«FB68»«FA0C»⋯そんなに簡単に使えるものなのか,↵«FA0C»«FAFE»〝魔法〞«FAFC»ってヤツは?"
MAP014,25,3,14,"«FB68»«FA0C»⋯甘平旬承学を信ずれば,↵«FA0C»誰でも扱えるようにしたのが↵«FA0C»«FAFE»〝グリモア〞«FAFC»ってことらしい。"
MAP014,26,2,8,"«FB68»«FA18»それさえあれば,↵«FA18»誰でも⋯。"
MAP014,27,2,9,«FB68»«FA0C»岩を空中に浮かせる↵«FA0C»ことができる⋯⋯。
MAP017,0,2,18,«FB68»«FA0C»うるさい議当の番犬がやってくる。↵«FA0C»責様たちは灵ってヤツを始光するのだ。
MAP017,1,2,6,«FB68»«FA0C»議当の⋯⋯↵«FA0C»⋯番犬⋯⋯?
MAP017,2,1,12,«FB98»«FA12»VKPのエージェントだ。
MAP017,3,2,19,"«FB68»«FA0C»よいか,私の命に«F79D»従う«F79E»のだ。↵«FA0C»«F79D»責様たちの敵はVKPのエージェント«F79E»だ。"
MAP017,4,1,3,«FB68»«FA12»行け!
MAP017,5,1,3,«FB68»«FA12»ハッ!
MAP018,0,1,15,«F800»«FB20»モンスターに扉をロックされた!
MAP022,0,1,9,«FB04»«F800»«FB60»⋯長居は«FC00»他険だな。
MAP023,0,1,8,«FB68»«FA0C»⋯どういうこと?
MAP023,1,2,8,«FB68»«FA0C»それを調べるのが↵«FA0C»オレの左事だ。
MAP023,2,2,11,«FB68»«FA0C»⋯たかがワインの貯蔵庫↵«FA0C»なのに厳重すぎるな。
