jp-ja,en-us
レイピア,Rapier
,nothing 
スパタ,Spatha
スパタ,Spatha
,nothing 
レイピア,Rapier
ハンドアックス,Hand Axe
,nothing 
,nothing 
,nothing 
,nothing 
スパタ,Spatha
グラディウス,Scimitar
スパタ,Spatha
ガストラルボウ,Gastraph Bow
バトルナイフ,Battle Knife
ハンドアックス,Hand Axe
グラディウス,Scimitar
ガストラルボウ,Gastraph Bow
,nothing 
スクラマサクス,Scramasax
,nothing 
ゴブリンクラブ,Goblin Club
スパタ,Spatha
,nothing 
,nothing 
エンジェルティップ,Angel Lance
,nothing 
,nothing 
,nothing 
ロンパイア,Rhomphaia
ブラッディメイス,Hand of Light
ブラッディメイス,Hand of Light
ブラッディメイス,Hand of Light
ブラッディメイス,Hand of Light
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
ゴブリンクラブ,Goblin Club
ハンドアックス,Hand Axe
,nothing 
スパタ,Spatha
バトルアックス,Battle Axe
ロングスピア,Spear
,nothing 
,nothing 
,nothing 
,nothing 
レイピア,Rapier
スパタ,Spatha
ブロードソード,Broad Sword
ランデヴェバ,Langdebeve
ガストラルボウ,Gastraph Bow
ダーク,Dirk
,nothing 
,nothing 
ロングスピア,Spear
グレイブ,Glaive
,nothing 
,nothing 
ハンドアックス,Hand Axe
バトルアックス,Battle Axe
ロングスピア,Spear
スパタ,Spatha
フランキスカ,Francisca
,nothing 
グラディウス,Scimitar
ギサルメアックス,Guisarme
,nothing 
,nothing 
ショートソード,Short Sword
バイキングソード,Norse Sword
ギサルメアックス,Guisarme
ガストラルボウ,Gastraph Bow
,nothing 
ランデヴェバ,Langdebeve
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
シャーマンタイプ,Shamanic Staff
ファルシオン,Falchion
ブローバー,Bullova
,nothing 
,nothing 
シャーマンタイプ,Shamanic Staff
ファルシオン,Falchion
ブローバー,Bullova
,nothing 
,nothing 
ホーリーウィン,Holy Win
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
グラディウス,Scimitar
ショートソード,Short Sword
シャムシール,Shamshir
スパイクドモール,Footmanʹs Mace
チンクエディア,Cinquedea
サモナータイプ,Summoner Baton
,nothing 
ショートソード,Short Sword
チャクマク,Chamkaq
コルセスカ,Corcesca
フィランギ,Firangi
カッツバルゲル,Sabre Mace
スコーピオン,Scorpion
,nothing 
シャムシール,Shamshir
ファルシオン,Falchion
クレイモアー,Claymore
ウォーハンマー,War Hammer
バルブリガン,Balbriggan
ヴォウジェ,Voulge
,nothing 
,nothing 
プッシーフット,Pussyfoot
ブラッディメイス,Hand of Light
フォルンエンジェル,Fallen Angel
ダブルブレード,Double Blade
,nothing 
コラ,Khora
ショテル,Shotel
タバール,Tabar
ラッグクロスボウ,Lug Crossbow
,nothing 
ブラッディメイス,Hand of Light
,nothing 
マグノリアフラウ,Magnolia Frau
レイピア,Rapier
ギサルメアックス,Guisarme
グラディウス,Scimitar
レイピア,Rapier
バイキングソード,Norse Sword
バトルアックス,Battle Axe
スパイクドクラブ,Spiked Club
ギサルメアックス,Guisarme
ランデヴェバ,Langdebeve
グレイブ,Glaive
ガストラルボウ,Gastraph Bow
ショートソード,Short Sword
フィランギ,Firangi
カタナ,Katana
タバルジン,Tabarzin
スモールスパイク,Footmanʹs Mace
ラージクレセント,Large Crescent
スパイクドモール,Footmanʹs Mace
スコーピオン,Scorpion
ターゲットボウ,Target Bow
ファルシオン,Falchion
ショテル,Shotel
スキアヴォーナ,Schiavona
タバール,Tabar
ウォーハンマー,War Hammer
バンパーブレード,Sabre Halberd
グルームウイング,Gloomwing
トライデント,Trident
クレインクイン,Cranequin
,nothing 
,nothing 
シャムロック,Shillelagh
エンジェルウイング,Angel Wing
ツァリーヌ,Czarine
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
フィランギ,Firangi
ショートソード,Short Sword
,nothing 
,nothing 
,nothing 
,nothing 
クレリックタイプ,Clergy Rod
キドニーダガー,Throwing Knife
サモナータイプ,Summoner Baton
ペシュカド,Kudi
フィランギ,Firangi
シャムシール,Shamshir
チャクマク,Chamkaq
ウィンドラスボウ,Windlass
ショートソード,Short Sword
タバルジン,Tabarzin
スモールスパイク,Footmanʹs Mace
,nothing 
,nothing 
,nothing 
,nothing 
ショートソード,Short Sword
フィランギ,Firangi
ラージクレセント,Large Crescent
ターゲットボウ,Target Bow
スコーピオン,Scorpion
レイピア,Rapier
モーニングスター,Morning Star
コルセスカ,Corcesca
バルブリガン,Balbriggan
シャーマンタイプ,Shamanic Staff
ビショップタイプ,Bishopʹs Crosier
サモナータイプ,Summoner Baton
シャーマンタイプ,Shamanic Staff
シャーマンタイプ,Shamanic Staff
ビショップタイプ,Bishopʹs Crosier
サモナータイプ,Summoner Baton
エンジェルキッス,Angel Kiss
,nothing 
クレリックタイプ,Clergy Rod
ディキディキ,Diki Diki
ブラックソーン,Blackthorn
,nothing 
バゼラード,Baselard
ククリ,Khukuri
ハットチェット,Hatchet
,nothing 
,nothing 
,nothing 
サモナータイプ,Summoner Baton
サモナータイプ,Summoner Baton
,nothing 
,nothing 
,nothing 
バトルアックス,Battle Axe
,nothing 
バトルナイフ,Battle Knife
グラディウス,Scimitar
バトルアックス,Battle Axe
ライトクロスボウ,Light Crossbow
ゴブリンクラブ,Goblin Club
スパイクドクラブ,Spiked Club
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
バンパーブレード,Sabre Halberd
ラージクレセント,Large Crescent
カッツバルゲル,Sabre Mace
ワルーンソード,Executioner
カタナ,Katana
クレイモアー,Claymore
ワルーンソード,Executioner
スパイクドモール,Footmanʹs Mace
カタナ,Katana
ラージクレセント,Large Crescent
カッツバルゲル,Sabre Mace
スパイクドモール,Footmanʹs Mace
クレリックタイプ,Clergy Rod
サモナータイプ,Summoner Baton
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
コルセスカ,Corcesca
フィランギ,Firangi
スパイクドモール,Footmanʹs Mace
タバール,Tabar
,nothing 
,nothing 
,nothing 
バゼラード,Baselard
ククリ,Khukuri
ハットチェット,Hatchet
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
スキアヴォーナ,Schiavona
,nothing 
バンパーブレード,Sabre Halberd
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
ハットチェット,Hatchet
ショテル,Shotel
タバール,Tabar
ラッグクロスボウ,Lug Crossbow
,nothing 
,nothing 
,nothing 
,nothing 
チャクマク,Chamkaq
ワルーンソード,Executioner
バルブリガン,Balbriggan
,nothing 
,nothing 
,nothing 
フォチャード,Fauchard
チャクマク,Chamkaq
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
チャクマク,Chamkaq
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
ファルシオン,Falchion
ショテル,Shotel
スキアヴォーナ,Schiavona
タバール,Tabar
ウォーハンマー,War Hammer
バルブリガン,Balbriggan
ミョルニール,Mjolnir
ボアスピア,Boar Spear
ラッグクロスボウ,Lug Crossbow
,nothing 
,nothing 
,nothing 
シャムシール,Shamshir
,nothing 
,nothing 
,nothing 
,nothing 
バスタードソード,Bastard Sword
ビショップタイプ,Bishopʹs Crosier
,nothing 
バスタードソード,Bastard Sword
ビショップタイプ,Bishopʹs Crosier
,nothing 
サモナータイプ,Summoner Baton
サモナータイプ,Summoner Baton
シャーマンタイプ,Shamanic Staff
シャーマンタイプ,Shamanic Staff
クリス,Kris
ハットチェット,Hatchet
ククリ,Khukuri
クレイモアー,Claymore
タバール,Tabar
ファランクス,Griever
ウォーハンマー,War Hammer
トスカナーヴ,Brionac
セントフール,Mjolnir
カリバーン,Pinaka
バルナディア,Sarnga
ソードオブストーン,Izanagi
ガラティン,Ascalon
イゾルデ,Isolde
アロンダイト,Dainslaif
エクスカリバー,Excalibur
ラッグクロスボウ,Lug Crossbow
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
ショートソード,Short Sword
,nothing 
,nothing 
ロンパイア,Rhomphaia
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
グラディウス,Scimitar
,nothing 
,nothing 
,nothing 
サモナータイプ,Summoner Baton
,nothing 
グラディウス,Scimitar
,nothing 
,nothing 
,nothing 
クレリックタイプ,Clergy Rod
,nothing 
ショートソード,Short Sword
グラディウス,Scimitar
レイピア,Rapier
,nothing 
,nothing 
レイピア,Rapier
,nothing 
グラディウス,Scimitar
グラディウス,Scimitar
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
,nothing 
