jp-ja,en-us
,
バトルナイフ,Battle Knife
スクラマサクス,Scramasax
ダーク,Dirk
キドニーダガー,Throwing Knife
ペシュカド,Kudi
チンクエディア,Cinquedea
クリス,Kris
ハットチェット,Hatchet
ククリ,Khukuri
バゼラード,Baselard
スティレット,Stiletto
ジャマダハル,Jamadhar
スパタ,Spatha
グラディウス,Scimitar
レイピア,Rapier
ショートソード,Short Sword
フィランギ,Firangi
シャムシール,Shamshir
ファルシオン,Falchion
ショテル,Shotel
コラ,Khora
コピス,Khopesh
サムライブレード,Wakizashi
ロンパイア,Rhomphaia
ブロードソード,Broad Sword
バイキングソード,Norse Sword
カタナ,Katana
ワルーンソード,Executioner
クレイモアー,Claymore
スキアヴォーナ,Schiavona
バスタードソード,Bastard Sword
ファルクス,Nodachi
ルーンブレード,Rune Blade
ホーリーウィン,Holy Win
ハンドアックス,Hand Axe
バトルアックス,Battle Axe
フランキスカ,Francisca
タバルジン,Tabarzin
チャクマク,Chamkaq
タバール,Tabar
ブローバー,Bullova
クレセント,Crescent
ゴブリンクラブ,Goblin Club
スパイクドクラブ,Spiked Club
オニオンシェイプ,Ball Mace
スモールスパイク,Footmanʹs Mace
モーニングスター,Morning Star
ウォーハンマー,War Hammer
ビッグハンマー,Bec de Corbin
ブルメイス,War Maul
ギサルメアックス,Guisarme
ラージクレセント,Large Crescent
バンパーブレード,Sabre Halberd
バルブリガン,Balbriggan
ダブルブレード,Double Blade
ハルベルト,Halberd
ウィザードタイプ,Wizard Staff
クレリックタイプ,Clergy Rod
サモナータイプ,Summoner Baton
シャーマンタイプ,Shamanic Staff
ビショップタイプ,Bishopʹs Crosier
ワイズマンタイプ,Sageʹs Cane
ランデヴェバ,Langdebeve
カッツバルゲル,Sabre Mace
スパイクドモール,Footmanʹs Mace
グルームウイング,Gloomwing
ミョルニール,Mjolnir
ファランクス,Griever
デストロイヤー,Destroyer
ブラッディメイス,Hand of Light
ロングスピア,Spear
グレイブ,Glaive
スコーピオン,Scorpion
コルセスカ,Corcesca
トライデント,Trident
オウルパイク,Awl Pike
ボアスピア,Boar Spear
フォチャード,Fauchard
ヴォウジェ,Voulge
ポールアックス,Pole Axe
バルディッシュ,Bardysh
パルチザン,Brandestoc
ガストラルボウ,Gastraph Bow
ライトクロスボウ,Light Crossbow
ターゲットボウ,Target Bow
ウィンドラスボウ,Windlass
クレインクイン,Cranequin
ラッグクロスボウ,Lug Crossbow
ストーンバスター,Siege Bow
アルバレスト,Arbalest
充使吉剣1,untitled
充使吉剣2,untitled
充使吉剣3,untitled
充使吉剣4,untitled
充使吉剣5,untitled
ショートヒルト,Short Hilt
スウェプトヒルト,Swept Hilt
クロスガード,Cross Guard
ナックルガード,Knuckle Guard
カウンターガード,Counter Guard
サイドリング,Side Ring
パワーパーム,Power Palm
マーダーズヒルト,Murdererʹs Hilt
スパイラルヒルト,Spiral Hilt
ウッドングリップ,Wooden Grip
サンドフェイス,Sand Face
チェザカンタイプ,Czekan Type
サリッサグリップ,Sarissa Grip
ジェンダルメ,Gendarme
ヘヴィグリップ,Heavy Grip
ランカススタイル,Runkasyle
ブージタイプ,Bhuj Type
グリモアグリップ,Grimoire Grip
エレファント,Elephant
ウッドンポール,Wooden Pole
スピクルムポール,Spiculum Pole
ウイングドポール,Winged Pole
フラメアポール,Framea Pole
アルシェピース,Ahlspies
スパイラルポール,Spiral Pole
シンプルアロー,Simple Bolt
スティールアロー,Steel Bolt
ジャベリンボルト,Javelin Bolt
ファラリカボルト,Falarica Bolt
ストーンバレット,Stone Bullet
ソニックバレット,Sonic Bullet
バックラー,Buckler
ペルタシールド,Pelta Shield
タージェ,Targe
クワッドシールド,Quad Shield
サークルシールド,Circle Shield
タワーシールド,Tower Shield
スパイクシールド,Spiked Shield
ラウンドシールド,Round Shield
カイトシールド,Kite Shield
カセロルシールド,Casserole Shield
ヒーターシールド,Heater Shield
オーバルシールド,Oval Shield
ナイトシールド,Knight Shield
ホプロンシールド,Hoplite Shield
ロゼンジシールド,Jazeraint Shield
ドレッドシールド,Dread Shield
バンダナ,Bandana
ベアーマスク,Bear Mask
ウィザードハット,Wizard Hat
ボーンヘルム,Bone Helm
チェインコイフ,Chain Coif
スパンゲンヘルム,Spangenhelm
キャバセット,Cabasset
サーリット,Sallet
バルビューダ,Barbut
バシニット,Basinet
アーメット,Armet
クローズヘルム,Close Helm
バーゴネット,Burgonet
ホプロンヘルム,Hoplite Helm
ロゼンジヘルム,Jazeraint Helm
ドレッドヘルム,Dread Helm
ジャーキン,Jerkin
ロングコート,Hauberk
ウィザードコート,Wizard Robe
キュラッサ,Cuirass
バンデッドメイル,Banded Mail
リングメイル,Ring Mail
チェインメイル,Chain Mail
ブレストプレート,Breastplate
セグメンテータ,Segmentata
スケールアーマー,Scale Armor
ブリガンダイン,Brigandine
プレイトメイル,Plate Mail
フリュートメイル,Fluted Armor
ホプロンアーマー,Hoplite Armor
ロゼンジアーマー,Jazeraint Armor
ドレッドアーマー,Dread Armor
サンダル,Sandals
ブーツ,Boots
ロングブーツ,Long Boots
サイクゥイス,Cuisse
ライトグリーブ,Light Greave
リングレッグス,Ring Leggings
チェインレッグス,Chain Leggings
フースカンプ,Fusskampf
ポレインガード,Poleyn
ジャムボウタイプ,Jambeau
ミサグリアタイプ,Missaglia
プレイトレッグス,Plate Leggings
フリュートタイプ,Fluted Leggings
ホプロンレッグス,Hoplite Leggings
ロゼンジレッグス,Jazeraint Leggings
ドレッドレッグス,Dread Leggings
バンテージ,Bandage
レザーグローブ,Leather Glove
ジポングローブ,Reinforced Glove
キュイラッサー,Knuckles
リングスリーブ,Ring Sleeve
チェインスリーブ,Chain Sleeve
ガントレット,Gauntlet
カラビニエール,Vambrace
プレイトグローブ,Plate Glove
ロンダンス,Rondanche
チルトグローブ,Tilt Glove
フレイタニエル,Freiturnier
フリュートハンド,Fluted Glove
ホプロングローブ,Hoplite Glove
ロゼンジグローブ,Jazeraint Glove
ドレッドグローブ,Dread Glove
充使吉鎧1,untitled
充使吉鎧2,untitled
充使吉鎧3,untitled
充使吉鎧4,untitled
充使吉鎧5,untitled
充使吉鎧6,untitled
充使吉鎧7,untitled
充使吉鎧8,untitled
充使吉鎧9,untitled
充使吉鎧10,untitled
充使吉鎧11,untitled
充使吉鎧12,untitled
充使吉鎧13,untitled
充使吉鎧14,untitled
充使吉鎧15,untitled
充使吉鎧16,untitled
聖仙の首飾り,Rood Necklace
ルーンピアス,Rune Earrings
ライオンヘッド,Lionhead
ラスティネイル,Rusted Nails
疾風の指輪,Sylphid Ring
マルドゥークの鼻環,Marduk
火竜の指輪,Salamander Ring
タミュリスタング,Tamulis Tongue
泥土の腕輪,Gnome Bracelet
パロロコングの指輪,Paloloʹs Ring
紫水の腕輪,Undine Bracelet
タアロアの指輪,Talian Ring
ティンカーリップ,Agriasʹs Balm
カデシュリング,Kadesh Ring
アグリッパの首輪,Agrippaʹs Choker
ディアドラの耳飾り,Diadraʹs Earring
巨人の指輪,Titanʹs Ring
ラウフェイの腕輪,Lau Feiʹs Armlet
スワンソング,Swan Song
プシュパカピアス,Pushpaka
エドガーのピアス,Edgarʹs Earrings
クロスチョーカー,Cross Choker
ゴーストドッグ,Ghost Hound
メレンカンプの足環,Beaded Anklet
ドラゴンヘッド,Dragonhead
ファフニールの涙,Faufnirʹs Tear
アガレスの首輪,Agalesʹs Chain
バラムリング,Balam Ring
ニミュエの髮飾り,Nimje Coif
モルガンの幼け爪,Morganʹs Nails
マリーンの指輪,Marleneʹs Ring
ウッド,Wood
レザー,Leather
ブロンズ,Bronze
アイアン,Iron
ハガネ,Hagane
シルバー,Silver
ダマスクス,Damascus
タロスの長回,Talos Feldspar
タイタンの孔雀回,Titan Malachite
シルフの黄印,Sylphid Topaz
ジンの琥珀,Djinn Amber
サラマンダーの紅印,Salamander Ruby
イフリートの紅印髄,Ifrit Carnelian
ノームの翠印,Gnome Emerald
ダオの月長回,Dao Moonstone
ウンディーネの碧印,Undine Jasper
マリッドの藍印,Marid Aquamarine
エンジェルの真珠,Angel Pearl
セラフィムの金剛回,Seraphim Diamond
モーロックの黑印,Morlock Jet
ベリアルの黑真珠,Berial Blackpearl
梟雄回,Haeralis
雷神晶,Orlandu
獸王回,Orion
獸神晶,Ogmius
聖骸回,Iocus
天灰晶,Balvus
幻妖回,Trinity
散妖晶,Beowulf
輝竜回,Dragonite
竜殺晶,Sigguld
破魔回,Demonia
聖關晶,Altema
サー・ボールス,Polaris
サー・パーシヴァル,Basivalen
サー・ガラハド,Galerian
サー・ベディヴィア,Vedivier
サー・ベイリン,Berion
サー・ガウェイン,Gervin
サー・トリスタン,Tertia
サー・ランスロット,Lancer
キング・アーサー,Arturos
ブレイブハート,Braveheart
ヘルレイザー,Hellraiser
ナイトキラー,Nightkiller
