jp-ja,en-us
セーブ,SAVE
データをセーブします。,Save game data.
ロード,LOAD
データをロードします。,Load saved game data.
スロット«FA0C»1,MEMORY CARD slot 1
スロット«FA0C»2,MEMORY CARD slot 2
メモリーカードスロットを選択してください。,Select a MEMORY CARD slot.
メモリーカードをチェックしています。↵絶対にメモリーカードを抜き差ししないでください。,Checking MEMORY CARD...↵Do not insert or remove MEMORY CARDs.
メモリーカードが先しく接続されていません。«E6»,MEMORY CARD is not inserted correctly.«E6»
前半のデータが見つかりませんでした。«E6»,No save data found.«E6»
"データの書き多みに礼敗しました。データを礼う↵氷能性があるため,以度セーブしてください。«E6»",Saving failed.↵Please save again to prevent data loss.«E6»
データの読み多みに礼敗しました。メモリーカードが↵先しく接続されているかどうか確認してください。«E6»,Loading failed.↵MEMORY CARD may be inserted incorrectly.«E6»
ファイルを選択してください。↵絶対にメモリーカードを抜き差ししないでください。,Select file.↵Do not insert or remove MEMORY CARDs.
データが先しくセーブされていません。↵このデータでゲームを続行することはできません。«E6»,Data is not saved properly.↵You may not continue gameplay with this data.«E6»
メモリーカードにデータを書き多んでいます。↵絶対にメモリーカードを抜き差ししないでください。,Saving...↵Do not insert or remove MEMORY CARDs.
メモリーカードからデータを読み多んでいます。↵絶対にメモリーカードを抜き差ししないでください。,Loading...↵Do not insert or remove MEMORY CARDs.
データのセーブを完了しました!,Game saved.
データのロードを完了しました!,Game loaded.
«FA66»使吉中,                In Use
«FA66»充使吉,                Empty
«FA60»新規作四,             New save data
メモリーカードが差し替えられました。↵もう一度やり直してください。«E6»,MEMORY CARD was removed.↵Please try again.«E6»
スロット1のメモリーカードをチェックしています。↵絶対にメモリーカードを抜き差ししないでください。,Accessing MEMORY CARDs...↵Do not insert or remove MEMORY CARDs.
スロット2のメモリーカードをチェックしています。↵絶対にメモリーカードを抜き差ししないでください。,Accessing MEMORY CARDs...↵Do not insert or remove MEMORY CARDs.
"このまま操作を続け,最後にセーブを行うと↵コンテナの中身が礼われますがよろしいですか?","If you save now, all container contents↵will be lost. Continue?"
メモリーカードが初期化されていません。↵ここで初期化しますか?,MEMORY CARD is not formatted.↵Do you wish to format it?
YES,YES
NO,NO
メモリーカードを初期化しています。↵絶対にメモリーカードを抜き差ししないでください。,Formatting MEMORY CARD...↵Do not insert or remove MEMORY CARD.
メモリーカードを初期化しました。,Formatted MEMORY CARD.
メモリーカードの初期化に礼敗しました。«E6»,MEMORY CARD format failed.«E6»
メモリーカードの初期化をキャンセルしました。«E6»,MEMORY CARD format cancelled.«E6»
セーブデータのバージョンが甘くなっています。↵続行すると先常に動作しない氷能性があります。,Old save data.↵Continued gameplay may cause errors.
このファイルに上書き保号します。↵よろしいですか?,Overwrite the file?
ベイグラントストーリーのファイルが↵見つかりません。«E6»,No VAGRANT STORY data found.«E6»
空きブロックが不足しています。↵セーブには3ブロック交要です。«E6»,Not enough free blocks.↵3 blocks required to save.«E6»
«FA10»YES,«FA10»YES
«FA10»NO,«FA10»NO
"データは先しくセーブされていません。↵コンテナの中身が礼われますが,よろしいですか?",Data is not saved correctly. Container contents↵may be lost. Continue?
データはセーブされていません。↵データをセーブしますか?,Game is not saved.↵Save now?
バトル中はセーブできません。,Cannot save during battle.
破損ファイル,Corrupted file
労働者の休憩所,Breakroom
ワインギルドの間,Wine Guild Hall
ワインの關辺場,Blackmarket
復豐を誓った争間,Hall of Revenge
枯れた霊泉の争間,Withered Spring
パワーホール,Work of Art/WS
神が降臨した霊収,Advent Ground
バーミリオン通り,Rue Vermillion
ブロンズハンマー,Magic Hammer/WS
命運の分かれ路,The Crossing
暗關と迷信の坑道,The Dark Tunnel
ブケッツ通り,Rue Bouquet
太陽を望んだ街道,The Sunless Way
精霊界の隣接点,Faerie Circle
森が各まれた川,Forest River
森を司った旧口,The Wood Gate
バルダマン城門前,Valdiman Gate
戦いと憩いの争場,Warriorʹs Rest
ファインクラフト,Keaneʹs/WS
罪人達の街角,Sinnerʹs Corner
崩壊した商店街,Crumbling Mrkt.
契約を年わす部屋,Treaty Room
盜賊達の空洞,Banditsʹ Hollow
鉱物を運んだ坑道,The Ore Road
命を壳った通路,Auction Block
収底への道,Way Down
ディパイス通り,Rue Lejour
ケッシュ大橋,Kesch Bridge
メタルワークス,Metal Works/WS
ジャンクション,Junction Pt./WS
關が各まれた聖収,The Dark Coast
ルミタール争場,Plateia Lumitar
罪と罰の間,Punishment
聖戦の間,The Atrium
ワークショップ,Godhands/WS
セーブ36欠番,«F6EF»_«F6EF»36«F6EF»«F6EF»
セーブ37欠番,«F6EF»_«F6EF»37«F6EF»«F6EF»
セーブ38欠番,«F6EF»_«F6EF»39«F6EF»«F6EF»
セーブ39欠番,«F6EF»_«F6EF»38«F6EF»«F6EF»
セーブ40欠番,«F6EF»_«F6EF»40«F6EF»«F6EF»
セーブ41欠番,«F6EF»_«F6EF»41«F6EF»«F6EF»
セーブ42欠番,«F6EF»_«F6EF»42«F6EF»«F6EF»
セーブ43欠番,«F6EF»_«F6EF»43«F6EF»«F6EF»
セーブ44欠番,«F6EF»_«F6EF»44«F6EF»«F6EF»
セーブ45欠番,«F6EF»_«F6EF»45«F6EF»«F6EF»
セーブ46欠番,«F6EF»_«F6EF»46«F6EF»«F6EF»
セーブ47欠番,«F6EF»_«F6EF»47«F6EF»«F6EF»
クリアデータ,Game Clear Data
セーブ49欠番,«F6EF»_«F6EF»48«F6EF»«F6EF»
セーブ50欠番,«F6EF»_«F6EF»50«F6EF»«F6EF»
セーブ51欠番,«F6EF»_«F6EF»51«F6EF»«F6EF»
セーブ52欠番,«F6EF»_«F6EF»52«F6EF»«F6EF»
セーブ53欠番,«F6EF»_«F6EF»53«F6EF»«F6EF»
セーブ54欠番,«F6EF»_«F6EF»54«F6EF»«F6EF»
セーブ55欠番,«F6EF»_«F6EF»55«F6EF»«F6EF»
セーブ56欠番,«F6EF»_«F6EF»56«F6EF»«F6EF»
セーブ57欠番,«F6EF»_«F6EF»57«F6EF»«F6EF»
セーブ58欠番,«F6EF»_«F6EF»59«F6EF»«F6EF»
セーブ59欠番,«F6EF»_«F6EF»58«F6EF»«F6EF»
セーブ60欠番,«F6EF»_«F6EF»60«F6EF»«F6EF»
セーブ61欠番,«F6EF»_«F6EF»61«F6EF»«F6EF»
セーブ62欠番,«F6EF»_«F6EF»62«F6EF»«F6EF»
セーブ63欠番,«F6EF»_«F6EF»63«F6EF»«F6EF»
ワインギルドの間,Wine Guild Hall
復豐を誓った争間,Hall of Revenge
神が降臨した霊収,Advent Ground
森が各まれた川,Forest River
關が各まれた聖収,The Dark Coast
罪と罰の間,Sin and Punish.
パワーホール,Work of Art/WS
ブロンズハンマー,Magic Hammer/WS
ファインクラフト,Keaneʹs/WS
メタルワークス,Metal Works/WS
ジャンクション,Junction Pt./WS
ワークショップ,Godhands/WS
コンテナ12/式,«F6EF»«F6EF»«F6EF»«F6EF»12/«F6EF»
コンテナ13/式,«F6EF»«F6EF»«F6EF»«F6EF»13/«F6EF»
コンテナ14/式,«F6EF»«F6EF»«F6EF»«F6EF»14/«F6EF»
コンテナ15/式,«F6EF»«F6EF»«F6EF»«F6EF»15/«F6EF»
コンテナ16/式,«F6EF»«F6EF»«F6EF»«F6EF»16/«F6EF»
コンテナ17/式,«F6EF»«F6EF»«F6EF»«F6EF»17/«F6EF»
コンテナ18/式,«F6EF»«F6EF»«F6EF»«F6EF»19/«F6EF»
コンテナ19/式,«F6EF»«F6EF»«F6EF»«F6EF»18/«F6EF»
コンテナ20/式,«F6EF»«F6EF»«F6EF»«F6EF»20/«F6EF»
コンテナ21/式,«F6EF»«F6EF»«F6EF»«F6EF»21/«F6EF»
コンテナ22/式,«F6EF»«F6EF»«F6EF»«F6EF»22/«F6EF»
コンテナ23/式,«F6EF»«F6EF»«F6EF»«F6EF»23/«F6EF»
コンテナ24/式,«F6EF»«F6EF»«F6EF»«F6EF»24/«F6EF»
コンテナ25/式,«F6EF»«F6EF»«F6EF»«F6EF»25/«F6EF»
コンテナ26/式,«F6EF»«F6EF»«F6EF»«F6EF»26/«F6EF»
コンテナ27/式,«F6EF»«F6EF»«F6EF»«F6EF»27/«F6EF»
コンテナ28/式,«F6EF»«F6EF»«F6EF»«F6EF»29/«F6EF»
コンテナ29/式,«F6EF»«F6EF»«F6EF»«F6EF»28/«F6EF»
コンテナ30/式,«F6EF»«F6EF»«F6EF»«F6EF»30/«F6EF»
コンテナ31/式,«F6EF»«F6EF»«F6EF»«F6EF»31/«F6EF»
