jp-ja,en-us
,
,
,
宝箱には何も入っていません。«E6»,Nothing in the treasure chest.«E6»
獲得するアイテムを選択してください。,Choose the item(s) you want to take.
YES,YES
NO,NO
獲得していないアイテムがありますが↵よろしいですか?,There are still some items here.↵Leave anyway?
«F79D»«FF00»«F79E»を破棄することはできません。«E6»,You cannot discard «FF00».«E6»
アイテムを破棄しますか?,Discard all items?
解体する,DISASSEMBLE
"ウェポン,シールドを解体し,↵組み壮て前の状態に灵す。",Disassemble equipment to separate the↵components.
整理する,ORGANIZE
"所持品に加じアイテムがある場処,↵個数をまとめることで所持数を增やす。",Organize duplicate items to increase↵your maximum carrying capacity.
所持品整理,ORGANIZE INVENTORY
"アイテムメニューを呼び旧し,↵所持品の整理を行う。",Open the Items menu to organize your inventory.
«FF00»を解体します。↵よろしいですか?,Disassemble «FF00»?
«FF00»を整理します。↵よろしいですか?,Organize «FF00»?
装備,EQUIP
アイテムを装備する。,Choose items to equip.
セットアップ,SETUP
"ウェポンやシールドの組み壮てや解体,修理等を行う。","Build, disassemble, or repair your equipment."
ここでアイテムを使吉することはできません。,You cannot use items here.
ウェポン,WEAPONS
ブレード,BLADES
グリップ,GRIPS
シールド,SHIELDS
アーマー,ARMOR
秘回,GEMS
道具,MISC
サブコマンド,OPTIONS
