jp-ja,en-us
,untitled
通常攻擊,Normal
ハサミ攻擊,Pincer
噛みつく,Bite
噛みつく,Bite
噛みつく,Bite
デスヴェイパー,Death Vapor
イラプション,Eruption
フリーズ,Freeze
ガスト,Gust
テラスラスト,Terra Thrust
サンクチュエリ,Holy Light
ディアボロス,Diabolos
ポイズンパネル,Poison Panel
パラライズパネル,Paralysis Panel
欠番,untitled
欠番,untitled
カースパネル,Curse Panel
ヒールパネル,Heal Panel
キュアパネル,Cure Panel
欠番,untitled
トラップクリア,Trap Clear
ヘヴィショット,Heavy Shot
ゲインライフ,Gain Life
マインドアサルト,Mind Assault
ゲインマジック,Gain Magic
レイジングエイク,Raging Ache
インセインエイク,Mind Ache
ゲインダメージ,Temper
クリムゾンレイド,Crimson Pain
ゲインファントム,Instill
ファントムペイン,Phantom Pain
パラライズパルス,Paralysis Pulse
欠番,untitled
ナミングクロウ,Numbing Claw
ダルネスバインド,Dulling Impact
欠番,untitled
スネークヴェノム,Snake Venom
欠番,untitled
欠番,untitled
セルフリカバリー,Ward
マジックスナッチ,Siphon Soul
マジックリフレク,Reflect Magic
ダメージリフレク,Reflect Damage
レジストマジック,Absorb Magic
レジストダメージ,Absorb Damage
インパクトガード,Impact Guard
エアブレイク,Windbreak
ファイアプルーフ,Fireproof
アースコンソル,Terra Ward
アクアウォード,Aqua Ward
フィーンドガード,Shadow Guard
デモンスケイル,Demonscale
ファントムシェル,Phantom Shield
ミゼラブルボディ,Degenerate
フィブルマインド,Psychodrain
レイジーボーンズ,Leadbones
アンプロテクト,Tarnish
アナライシス,Analyze
欠番,untitled
ハーキュリアン,Herakles
インライテン,Enlighten
インビゴレイト,Invigorate
プロテクト,Prostasia
欠番,untitled
ヒール,Heal
ルフトアタッチ,Luft Fusion
スパークアタッチ,Spark Fusion
ソイルアタッチ,Soil Fusion
フロストアタッチ,Frost Fusion
ルフトガード,Aero Guard
スパークガード,Pyro Guard
ソイルガード,Terra Guard
フロストガード,Aqua Guard
デスラプトペイン,Dark Chant
サイレントスペル,Silence
インバリドスペル,Magic Ward
ジェネラスヒール,Surging Balm
ライトニングボウ,Lightning Bolt
フィクセイト,Fixate
ディスペル,Dispel
ファイアボール,Fireball
スタンクラウド,Stun Cloud
ポイズンミスト,Poison Mist
ヴァルカンランス,Vulcan Lance
カース,Curse
アクアブラスト,Aqua Blast
リストレイション,Restoration
アンチドーテ,Antidote
欠番,untitled
ブレッシング,Blessing
クリアランス,Clearance
アンロック,Unlock
マーク,Eureka
ドレインハート,Drain Heart
ドレインマインド,Drain Mind
ヒール,Heal
ソリッドショック,Solid Shock
ライトニングボウ,Lightning Bolt
ファイアボール,Fireball
ヴァルカンランス,Vulcan Lance
アクアブラスト,Aqua Blast
スピリットサージ,Spirit Surge
デスラプトペイン,Dark Chant
イクソシズム,Exorcism
バニッシュ,Banish
イクスプロジョンѨ1,Explosion Ѩ1
イクスプロジョンѨ2,Explosion Ѩ2
イクスプロジョンѨ3,Explosion Ѩ3
イクスプロジョンѨ4,Explosion Ѩ4
サンダーバーストѨ1,Thunderburst Ѩ1
サンダーバーストѨ2,Thunderburst Ѩ2
サンダーバーストѨ3,Thunderburst Ѩ3
サンダーバーストѨ4,Thunderburst Ѩ4
フレイムスフィアѨ1,Flame Sphere Ѩ1
フレイムスフィアѨ2,Flame Sphere Ѩ2
フレイムスフィアѨ3,Flame Sphere Ѩ3
フレイムスフィアѨ4,Flame Sphere Ѩ4
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
